name,age,club,minor,pa,best,pos,field,bats,HR_mlb,HR,OBP,OPS+,bestP,HR_p,OBP_p,OPS+_p,OPS+_pF,Tpct,c,1b,2b,3b,ss,lf,cf,rf,dh,cP,1bP,2bP,3bP,ssP,lfP,cfP,rfP,dhP,toWAR,toWARP,c_tdWAR,1b_tdWAR,2b_tdWAR,3b_tdWAR,ss_tdWAR,lf_tdWAR,cf_tdWAR,rf_tdWAR,dh_tdWAR,in_list
George Lombard Jr.,23,OAK,0,323,0.5,2b,"2B, LF",R,11,12,0.315,93,2.12,17,0.346,106,106,1.03,-11.37,-0.14,0.5,0.18,-1.36,0.12,-1.07,-1.31,-0.83,-9.75,1.47,2.12,1.8,0.26,1.73,0.55,0.3,0.78,-0.83,0.78,-10.54,0.69,1.34,1.02,-0.53,0.95,-0.24,-0.48,0,
Kyle Schwarber,35,TEX,0,312,2.65,1b,,L,38,36,0.377,120,2.65,36,0.377,120,-999,1.2,-7.55,2.65,-1.95,-1.04,-6.03,-1.64,1.12,-1.2,2.54,-7.55,2.65,-1.95,-1.04,-6.03,-1.64,1.12,-1.2,2.54,2.54,2.54,-10.09,0.11,-4.49,-3.58,-8.57,-4.18,-1.42,-3.74,0,
Trea Turner,35,PHI,0,313,0.97,1b,,R,22,17,0.338,106,0.97,17,0.338,106,-999,1.06,-10.04,0.97,-0.02,-0.51,-4.42,-3.36,-0.78,-2.84,0.5,-10.04,0.97,-0.02,-0.51,-4.42,-3.36,-0.78,-2.84,0.5,0.5,0.5,-10.54,0.47,-0.51,-1.01,-4.92,-3.86,-1.28,-3.34,0,
Michael Conforto,35,CWS,0,232,0.51,1b,,L,27,22,0.325,104,0.51,22,0.325,104,-999,1.04,-10.22,0.51,-2.54,-1.64,-6.45,-2.54,-1.56,-2.44,0.31,-10.22,0.51,-2.54,-1.64,-6.45,-2.54,-1.56,-2.44,0.31,0.31,0.31,-10.54,0.2,-2.85,-1.95,-6.76,-2.85,-1.87,-2.75,0,
Matt Chapman,35,SF,0,231,0.41,1b,,R,24,17,0.314,98,0.41,17,0.314,98,-999,0.98,-10.4,0.41,-2.04,-2.05,-7.16,-3.57,-0.99,-2.77,0.14,-10.4,0.41,-2.04,-2.05,-7.16,-3.57,-0.99,-2.77,0.14,0.14,0.14,-10.54,0.27,-2.17,-2.18,-7.3,-3.71,-1.13,-2.9,0,
Chris Gittens,34,OAK,1,0,0.57,1b,,R,15,31,0.35,107,0.57,31,0.35,107,-999,1.07,-10.24,0.57,-4.7,-4.35,-8.26,-4.27,-1.53,-3.85,0.3,-10.24,0.57,-4.7,-4.35,-8.26,-4.27,-1.53,-3.85,0.3,0.3,0.3,-10.54,0.27,-5.0,-4.65,-8.56,-4.57,-1.83,-4.15,0,
Cam Smith,25,MIA,1,243,1.42,3b,3B,R,21,23,0.311,101,1.87,23,0.321,104,104,1.03,-10.28,0.91,0.22,1.42,-1.78,-2.44,-1.42,-2.06,0.26,-9.83,1.36,0.67,1.87,-1.34,-1.99,-0.97,-1.62,0.7,0.26,0.7,-10.54,0.66,-0.04,1.16,-2.04,-2.7,-1.67,-2.32,0,
Ronald Acuna Jr.,30,PHI,0,365,4.59,lf,,R,30,32,0.398,128,4.59,32,0.398,128,-999,1.28,-6.93,3.72,-0.1,0.66,-3.67,4.59,2.77,2.56,3.6,-6.93,3.72,-0.1,0.66,-3.67,4.59,2.77,2.56,3.6,3.6,3.6,-10.54,0.11,-3.71,-2.94,-7.28,0.99,-0.83,-1.04,0,
Miguel Amaya,29,SF,0,264,0.38,c,,R,17,13,0.326,98,1.25,16,0.341,103,-999,0.98,0.38,-0.39,-4.27,-3.99,-8.08,-4.88,-1.97,-4.37,-0.5,1.25,0.48,-3.39,-3.12,-7.21,-4.01,-1.09,-3.5,0.37,-0.5,0.37,0.88,0.11,-3.77,-3.49,-7.58,-4.38,-1.47,-3.87,0,
Fernando Tatis Jr.,29,SD,0,178,5.39,3b,RF,R,35,39,0.361,126,6.73,44,0.384,136,136,1.26,-7.0,4.16,3.53,5.39,1.13,4.91,4.48,4.98,3.54,-5.66,5.5,4.86,6.73,2.47,6.24,5.82,6.32,4.88,3.54,4.88,-10.54,0.62,-0.01,1.85,-2.4,1.37,0.95,1.44,0,
Rafael Marchan,29,TB,0,262,0.31,c,,S,12,10,0.296,89,1.95,12,0.328,100,-999,0.89,0.31,-1.79,-4.4,-3.9,-8.3,-6.16,-3.25,-5.56,-1.84,1.95,-0.14,-2.75,-2.26,-6.66,-4.52,-1.61,-3.92,-0.19,-1.84,-0.19,2.14,0.05,-2.56,-2.07,-6.46,-4.33,-1.42,-3.73,0,
Zach Peek,30,CHC,1,0,-9.18,1b,,R,,4,0.134,44,-9.18,4,0.134,44,-999,0.44,-20.14,-9.18,-11.76,-11.12,-15.55,-14.18,-11.44,-13.76,-9.61,-20.14,-9.18,-11.76,-11.12,-15.55,-14.18,-11.44,-13.76,-9.61,-9.61,-9.61,-10.54,0.43,-2.15,-1.52,-5.95,-4.57,-1.83,-4.15,0,
Justin Foscue,29,TEX,1,0,0.08,1b,,R,,16,0.326,99,0.21,16,0.324,98,-999,0.99,-10.83,0.08,-0.46,-0.87,-4.61,-3.14,-2.16,-3.04,-0.29,-10.7,0.21,-0.33,-0.74,-4.48,-3.01,-2.03,-2.92,-0.16,-0.29,-0.16,-10.54,0.37,-0.17,-0.58,-4.32,-2.85,-1.87,-2.75,0,
Trevor Richards,35,CHC,1,0,-8.36,1b,,R,,4,0.169,50,-8.36,4,0.169,50,-999,0.5,-19.17,-8.36,-12.28,-12.46,-16.21,-13.21,-10.47,-12.79,-8.64,-19.17,-8.36,-12.28,-12.46,-16.21,-13.21,-10.47,-12.79,-8.64,-8.64,-8.64,-10.54,0.28,-3.65,-3.82,-7.58,-4.57,-1.83,-4.15,0,
Lawrence Butler,28,OAK,0,238,1.33,lf,LF,L,24,17,0.323,102,1.94,23,0.329,107,107,1.02,-10.17,0.66,-2.04,-2.39,-6.33,1.33,0.23,0.18,0.23,-9.55,1.27,-1.43,-1.77,-5.71,1.94,0.85,0.8,0.85,0.23,0.85,-10.4,0.43,-2.27,-2.62,-6.56,1.1,0.0,-0.05,0,
Michael Toglia,29,COL,0,313,2.48,lf,,S,29,33,0.339,112,3.5,38,0.355,120,-999,1.12,-8.94,2.22,-0.15,-0.17,-4.52,2.48,0.63,0.27,1.6,-7.92,3.24,0.87,0.85,-3.5,3.5,1.64,1.29,2.62,1.6,2.62,-10.54,0.62,-1.75,-1.77,-6.12,0.88,-0.97,-1.33,0,
